pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
C,36,LAL,80,2622,21.3,.608,.001,.318,7.8,16.8,12.7,11.5,1.0,2.9,13.5,25.1,,5.9,3.1,8.9,.163,,2.5,0.4,2.8,3.2
C,29,PHO,70,1452,16.6,.513,.007,.275,9.5,16.3,12.9,20.3,2.4,1.2,15.2,21.7,,1.5,1.8,3.3,.109,,0.6,1.4,2.0,1.5
SF,24,DAL,79,2900,23.5,.572,.032,.352,6.4,12.3,9.4,21.0,1.3,0.4,12.3,33.4,,7.0,2.0,9.0,.149,,4.6,-1.3,3.3,3.9
SG,24,BOS,71,1154,10.4,.498,.061,.155,3.0,8.3,5.7,18.4,1.7,0.2,15.4,16.2,,0.5,1.3,1.8,.076,,-1.0,-1.3,-2.4,-0.1
SF,23,UTA,48,311,11.6,.427,.023,.223,13.6,8.0,10.6,9.6,2.2,1.5,12.3,20.8,,-0.2,0.3,0.1,.013,,-2.5,-0.8,-3.2,-0.1
PF,23,DEN,78,1380,14.6,.471,.030,.235,10.1,21.1,15.5,17.6,1.4,1.1,13.4,22.2,,0.3,1.0,1.3,.044,,-2.2,0.6,-1.5,0.2
PG,35,MIL,46,1038,10.6,.526,.065,.362,1.8,6.3,4.2,21.1,1.6,0.0,19.4,16.3,,0.3,1.1,1.4,.065,,-1.2,-1.9,-3.1,-0.3
SF,22,DET,7,28,5.6,.462,.000,.000,7.3,4.0,5.7,4.8,1.7,2.0,18.8,22.0,,0.0,0.0,0.0,-0.046,,-5.2,-1.6,-6.9,0.0
PG,23,CLE,76,1712,12.8,.485,.028,.326,3.1,7.4,5.2,27.9,2.2,0.1,19.7,21.0,,-0.4,1.3,0.9,.025,,-1.9,-0.9,-2.8,-0.3
PF,26,HOU,73,1174,15.5,.537,.002,.371,9.6,17.4,13.5,9.3,1.3,1.9,14.4,23.6,,1.0,1.3,2.3,.093,,-1.1,-0.4,-1.5,0.1
PF,22,UTA,81,2009,12.9,.539,.000,.198,6.4,17.3,12.1,8.4,0.9,3.1,14.1,14.8,,1.3,2.3,3.6,.086,,-1.8,1.6,-0.3,0.9
SF,29,WSB,82,2701,15.3,.515,.014,.196,6.1,15.0,10.5,16.5,1.7,0.7,11.0,20.5,,2.4,3.2,5.6,.099,,0.3,1.0,1.2,2.2
PF,24,SAS,80,2600,15.4,.606,.008,.361,8.5,15.2,11.9,12.0,1.8,0.5,16.1,15.4,,4.5,1.7,6.2,.115,,1.4,2.1,3.6,3.6
C,27,SAS,4,31,6.4,.500,.000,.000,3.5,10.1,6.9,11.8,0.0,5.0,28.6,17.5,,-0.1,0.0,0.0,-0.068,,-7.0,1.1,-5.9,0.0
C,29,DET,82,1734,14.0,.584,.002,.224,6.9,18.6,12.6,9.2,1.9,1.7,13.8,12.8,,2.5,2.2,4.7,.131,,-0.2,2.1,1.9,1.7
PF,27,BOS,79,3028,24.2,.552,.047,.273,7.0,22.3,14.9,26.2,2.3,1.3,12.1,26.7,,7.9,5.6,13.6,.215,,5.5,2.3,7.8,7.4
SG,28,NJN,69,2168,16.8,.530,.017,.278,3.8,5.1,4.5,19.1,1.8,0.5,11.7,26.7,,2.4,2.1,4.5,.100,,1.9,-2.0,-0.1,1.0
SG,24,DAL,81,3025,19.8,.596,.008,.347,4.8,9.5,7.2,14.2,0.9,0.7,10.0,23.3,,8.3,1.5,9.8,.155,,2.9,-1.0,1.9,3.0
PF,30,UTA,38,261,10.2,.596,.019,.404,11.9,13.7,12.9,7.6,1.6,0.0,17.5,11.3,,0.4,0.3,0.6,.115,,-0.5,-0.2,-0.8,0.1
SG,24,SEA,8,39,0.5,.546,.000,1.000,0.0,8.7,4.4,16.1,0.0,1.4,44.2,19.3,,-0.1,0.0,-0.1,-0.152,,-10.4,-2.0,-12.4,-0.1
PG,28,GSW,82,1428,12.9,.483,.098,.263,2.9,8.4,5.5,23.9,2.7,0.2,15.8,18.8,,0.6,1.3,1.9,.063,,-1.7,-0.9,-2.6,-0.2
C,23,MIL,57,472,9.2,.426,.000,.260,12.0,14.1,13.1,5.0,1.2,4.7,15.1,20.8,,-0.5,0.8,0.3,.029,,-4.4,-0.2,-4.5,-0.3
SG,28,TOT,53,992,9.6,.477,.035,.166,2.4,4.4,3.4,6.5,1.1,1.1,8.5,18.5,,0.1,0.2,0.3,.016,,-3.5,-1.4,-4.9,-0.7
SG,28,GSW,13,210,8.6,.496,.017,.293,2.4,4.5,3.4,3.8,1.3,1.3,9.7,13.4,,0.1,0.1,0.2,.038,,-3.9,-1.0,-5.0,-0.2
SG,28,SAS,40,782,9.9,.474,.038,.145,2.4,4.4,3.4,7.2,1.0,1.1,8.3,19.8,,0.1,0.1,0.2,.011,,-3.4,-1.6,-4.9,-0.6
SF,30,MIL,81,2431,14.3,.508,.028,.222,3.9,11.3,7.8,16.7,1.1,0.3,11.0,23.4,,2.1,3.0,5.1,.100,,0.6,-1.6,-1.0,0.6
