player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,votes_first,points_won,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
Kareem Abdul-Jabbar,C,34,LAL,76.0,2677.0,13.1,22.6,0.579,0.0,0.1,0.0,13.1,22.6,0.58,5.4,7.7,0.706,3.0,8.5,11.5,3.9,1.1,3.6,4.0,3.9,31.6,116.0,104.0,23.4,0.608,0.002,0.34,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,,6.9,3.9,10.7,0.192,,3.2,1.0,4.3,4.2,0.0,31.0,35.2,9.9,17.1,0.0,0.0,9.9,17.1,0.579,4.1,5.8,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9,10.1,17.5,0.0,0.0,10.1,17.5,4.2,5.9,2.3,6.5,8.9,3.0,0.8,2.8,3.1,3.0,24.4
Alvan Adams,C,27,PHO,79.0,2393.0,10.2,20.7,0.494,0.0,0.0,0.0,10.2,20.7,0.494,3.7,4.7,0.7809999999999999,2.8,9.0,11.8,7.2,2.3,1.6,3.9,5.4,24.1,106.0,99.0,18.6,0.529,0.001,0.22699999999999998,6.6,20.2,13.6,22.1,2.3,1.9,14.8,22.8,,2.5,4.7,7.2,0.14400000000000002,,1.9,1.8,3.7,3.5,0.0,0.0,30.3,6.4,13.0,0.0,0.0,6.4,13.0,0.494,2.3,2.9,1.7,5.7,7.4,4.5,1.4,1.0,2.5,3.4,15.1,7.6,15.5,0.0,0.0,7.6,15.4,2.7,3.5,2.1,6.7,8.8,5.4,1.7,1.2,2.9,4.0,18.0
Mark Aguirre,SF,22,DAL,51.0,1468.0,12.6,27.2,0.465,0.8,2.4,0.35200000000000004,11.8,24.9,0.475,5.6,8.2,0.68,3.0,5.3,8.3,5.4,1.2,0.7,4.5,5.0,31.7,102.0,111.0,17.3,0.514,0.087,0.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,,1.0,0.8,1.9,0.061,,1.0,-0.9,0.1,0.8,0.0,0.0,28.8,7.5,16.1,0.5,1.4,7.0,14.7,0.48,3.3,4.8,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7,9.3,20.1,0.6,1.7,8.7,18.4,4.1,6.1,2.2,3.9,6.1,4.0,0.9,0.5,3.3,3.7,23.4
Tiny Archibald,PG,33,BOS,68.0,2167.0,6.7,14.2,0.47200000000000003,0.1,0.3,0.375,6.6,13.9,0.475,5.2,6.9,0.747,0.5,2.0,2.5,11.8,1.1,0.1,3.9,2.9,18.7,112.0,109.0,14.3,0.542,0.025,0.485,1.3,4.5,2.9,31.9,1.1,0.1,18.4,17.9,,3.4,1.8,5.2,0.115,,0.9,-3.3,-2.5,-0.2,0.0,0.0,31.9,4.5,9.6,0.1,0.2,4.4,9.4,0.47700000000000004,3.5,4.6,0.4,1.3,1.7,8.0,0.8,0.0,2.6,1.9,12.6,5.1,10.8,0.1,0.3,5.0,10.6,3.9,5.2,0.4,1.5,1.9,9.0,0.9,0.0,3.0,2.2,14.3
James Bailey,PF,24,TOT,77.0,1468.0,8.3,16.1,0.517,0.0,0.0,,8.3,16.1,0.517,4.4,7.1,0.612,4.0,8.4,12.5,2.1,1.3,2.6,4.4,8.6,21.0,99.0,100.0,13.3,0.546,0.0,0.444,9.7,20.3,15.0,6.3,1.3,3.3,18.7,20.3,,0.2,2.7,2.9,0.094,,-1.8,0.3,-1.5,0.2,0.0,0.0,19.1,3.4,6.6,0.0,0.0,3.4,6.6,0.517,1.8,2.9,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6,6.4,12.4,0.0,0.0,6.4,12.4,3.4,5.5,3.1,6.5,9.6,1.6,1.0,2.0,3.4,6.6,16.2
Greg Ballard,SF,27,WSB,79.0,2946.0,10.2,21.4,0.475,0.1,0.4,0.409,10.0,21.1,0.47600000000000003,3.9,4.6,0.83,2.2,8.1,10.4,4.1,2.2,0.4,2.0,3.3,24.4,109.0,101.0,17.9,0.519,0.017,0.217,5.1,18.1,11.7,13.1,2.2,0.4,7.7,22.0,,4.1,5.3,9.4,0.154,,2.4,1.2,3.5,4.1,0.0,0.0,37.3,7.9,16.5,0.1,0.3,7.7,16.3,0.479,3.0,3.6,1.7,6.3,8.0,3.2,1.7,0.3,1.5,2.6,18.8,7.6,16.0,0.1,0.3,7.5,15.7,2.9,3.5,1.7,6.1,7.7,3.1,1.7,0.3,1.5,2.5,18.2
Gene Banks,SF,22,SAS,80.0,1700.0,8.6,18.0,0.47700000000000004,0.0,0.2,0.0,8.6,17.7,0.483,4.0,5.8,0.684,4.3,7.0,11.3,4.0,1.5,0.5,2.9,5.5,21.1,108.0,108.0,14.7,0.515,0.012,0.325,9.9,16.0,13.0,11.5,1.5,0.5,12.5,19.9,,1.9,1.6,3.5,0.099,,0.2,0.1,0.3,1.0,0.0,0.0,21.3,3.9,8.2,0.0,0.1,3.9,8.1,0.47700000000000004,1.8,2.7,2.0,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6,6.6,13.8,0.0,0.2,6.6,13.6,3.1,4.5,3.3,5.4,8.7,3.1,1.2,0.4,2.2,4.2,16.2
Mike Bantom,SF,30,TOT,82.0,2016.0,8.0,17.0,0.469,0.0,0.1,0.33299999999999996,7.9,16.9,0.47,4.0,6.4,0.629,4.2,6.4,10.5,2.7,1.5,1.5,3.6,6.5,20.0,99.0,104.0,12.7,0.505,0.008,0.375,9.7,14.4,12.1,8.1,1.5,1.7,15.2,20.2,,0.2,2.7,2.9,0.069,,-0.9,-0.1,-1.1,0.5,0.0,0.0,24.6,4.1,8.7,0.0,0.1,4.0,8.6,0.47100000000000003,2.0,3.3,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2,6.0,12.7,0.0,0.1,5.9,12.6,3.0,4.8,3.1,4.7,7.9,2.0,1.1,1.1,2.7,4.9,15.0
Billy Ray Bates,SG,25,POR,75.0,1229.0,12.7,26.9,0.473,0.5,1.6,0.293,12.2,25.3,0.484,6.5,8.2,0.787,2.1,2.1,4.2,4.3,1.6,0.2,3.6,3.9,32.3,107.0,111.0,17.8,0.53,0.059000000000000004,0.305,4.9,5.0,4.9,13.9,1.6,0.2,10.6,29.4,,1.8,0.6,2.4,0.094,,0.5,-3.6,-3.2,-0.4,0.0,0.0,16.4,4.4,9.2,0.2,0.5,4.2,8.7,0.48100000000000004,2.2,2.8,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1,9.6,20.3,0.4,1.2,9.2,19.1,4.9,6.2,1.6,1.6,3.2,3.3,1.2,0.1,2.7,2.9,24.4
Kent Benson,C,27,DET,75.0,2467.0,7.6,15.0,0.505,0.1,0.2,0.273,7.5,14.8,0.508,2.4,2.9,0.804,4.1,8.1,12.2,3.0,1.2,1.8,3.0,4.0,17.5,107.0,105.0,14.4,0.539,0.013999999999999999,0.19699999999999998,9.4,19.9,14.5,8.8,1.2,2.2,15.5,16.3,,2.2,3.0,5.2,0.10099999999999999,,-0.3,1.6,1.3,2.1,0.0,0.0,32.9,5.4,10.7,0.0,0.1,5.4,10.5,0.507,1.7,2.1,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5,5.9,11.7,0.0,0.2,5.9,11.5,1.9,2.3,3.2,6.3,9.5,2.3,1.0,1.4,2.3,3.1,13.7
