player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Tariq Abdul-Wahad,SG,24,1205.0,0.435,7.7,2.1,2.1,0.7,18.8,98.0,104.0,11.8,0.486,8.1,6.5,19.0,1.4,-2.8,-0.2,0.442,1.9,2.8,0.691,1.5,2.3,3.8,1.0,1.0,0.3,1.4,2.5,9.3,8.3,0.0
Shareef Abdur-Rahim,SF,22,2021.0,0.43200000000000005,10.0,4.6,1.8,1.5,30.7,104.0,107.0,20.7,0.53,10.9,17.6,28.9,4.6,1.6,1.8,0.43799999999999994,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0,17.9,0.0
Ray Allen,SG,23,1719.0,0.45,6.8,5.7,1.7,0.2,27.5,110.0,106.0,18.9,0.564,7.4,18.8,24.5,5.2,2.9,2.1,0.505,3.5,3.9,0.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1,13.5,0.0
Kenny Anderson,PG,28,1010.0,0.451,5.4,10.0,1.7,0.1,21.4,107.0,106.0,16.7,0.513,5.7,32.5,20.9,2.4,-1.3,0.2,0.45899999999999996,2.5,3.0,0.8320000000000001,0.7,2.3,3.0,5.7,1.0,0.1,2.1,2.3,12.1,10.5,0.0
Nick Anderson,SF,31,1581.0,0.395,9.5,3.1,2.2,0.5,24.0,100.0,97.0,15.3,0.493,10.2,10.7,22.8,3.9,1.3,1.3,0.47,2.1,3.4,0.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9,13.6,0.0
Shandon Anderson,SG,25,1072.0,0.446,6.8,2.9,2.0,0.5,22.0,99.0,101.0,12.8,0.511,7.5,9.7,21.6,2.0,-1.4,0.2,0.466,1.8,2.5,0.7120000000000001,1.0,1.7,2.6,1.1,0.8,0.2,1.3,1.8,8.5,7.3,0.0
Darrell Armstrong,PG,30,1502.0,0.441,6.5,12.1,3.9,0.1,24.8,110.0,96.0,22.2,0.575,7.0,40.8,22.9,6.4,5.9,3.0,0.507,3.2,3.6,0.904,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8,10.4,2.0
Isaac Austin,C,29,1259.0,0.408,10.2,3.8,2.0,1.5,20.5,89.0,97.0,12.0,0.457,10.9,12.8,22.9,1.2,-1.8,0.1,0.41100000000000003,2.1,3.2,0.669,1.7,3.1,4.8,1.8,1.0,0.7,2.3,2.6,9.7,9.2,0.0
Vin Baker,PF,27,1162.0,0.45299999999999996,9.7,2.6,1.5,1.6,21.6,93.0,107.0,12.5,0.461,10.5,8.7,22.8,0.4,-3.2,-0.3,0.45299999999999996,2.1,4.7,0.45,2.5,3.7,6.2,1.6,0.9,1.0,2.2,3.6,13.8,12.9,0.0
Charles Barkley,PF,35,1526.0,0.478,18.3,6.8,1.5,0.5,23.9,115.0,100.0,23.1,0.546,19.8,22.1,22.2,6.8,5.5,2.9,0.48200000000000004,4.6,6.4,0.7190000000000001,4.0,8.3,12.3,4.6,1.0,0.3,2.4,2.1,16.1,12.0,0.0
Dana Barros,PG,31,1156.0,0.45299999999999996,4.8,9.4,2.4,0.2,21.1,111.0,104.0,17.7,0.5760000000000001,5.1,29.9,19.0,3.4,0.3,0.7,0.539,1.3,1.5,0.877,0.3,1.8,2.1,4.2,1.0,0.1,1.8,1.3,9.3,7.4,0.0
Brent Barry,SG,27,1181.0,0.396,6.6,5.3,1.9,0.5,19.0,99.0,104.0,12.9,0.514,7.2,19.0,18.8,1.6,-0.1,0.6,0.469,2.1,2.7,0.772,1.1,2.8,3.9,3.1,1.1,0.3,1.9,2.6,11.1,9.6,0.0
Tony Battie,C,22,1121.0,0.519,14.0,2.5,1.4,3.3,15.7,110.0,99.0,15.5,0.541,15.0,7.7,14.1,3.3,1.1,0.9,0.519,0.8,1.2,0.672,1.9,4.1,6.0,1.1,0.6,1.4,0.9,3.2,6.7,5.7,0.0
