player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,votes_first,points_won
Alex Acker,SG,26.0,TOT,0.3048780487804878,0.06087488528602019,0.30859375,0.5037783375314862,0.395,0.2535211267605634,0.3271604938271605,0.35,0.23828125,0.37279596977329976,0.411,0.08387096774193549,0.1477272727272727,0.5,0.04093567251461989,0.1640625,0.08192457737321196,0.19161676646706588,0.196969696969697,0.16417910447761194,0.12413793103448276,0.11594202898550725,0.3703703703703704,0.4585365853658537,0.9661016949152542,0.11778029445073615,0.448,0.263,0.08800000000000001,0.045,0.16382252559726962,0.08101851851851853,0.18715596330275228,0.196969696969697,0.14705882352941174,0.2061855670103093,0.5127551020408163,,-0.007299270072992701,0.013157894736842106,0.0,-0.012600229095074458,,-0.13793103448275862,-0.4,-0.4615384615384616,-0.017241379310344827,0.2005012531328321,0.1111111111111111,0.13636363636363635,0.10714285714285716,0.1142857142857143,0.09278350515463918,0.11340206185567013,0.441,0.022222222222222227,0.03738317757009346,0.06976744186046513,0.061224489795918366,0.07246376811594203,0.045454545454545456,0.07142857142857144,0.06896551724137931,0.07692307692307693,0.10256410256410256,0.09602649006622516,0.30000000000000004,0.4756944444444444,0.27083333333333337,0.3333333333333333,0.2333333333333333,0.3506944444444444,0.08737864077669902,0.14516129032258066,0.03888888888888889,0.1611111111111111,0.07962962962962962,0.1929824561403509,0.2,0.14583333333333334,0.1326530612244898,0.10666666666666667,0.3611111111111111,0.0,0.0
Hassan Adams,SG,24.0,TOR,0.14634146341463414,0.015907005200367086,0.15625,0.327455919395466,0.308,0.0,0.0,,0.15625,0.327455919395466,0.308,0.1935483870967742,0.3409090909090909,0.5,0.019493177387914232,0.234375,0.09102730819245773,0.05988023952095808,0.15151515151515152,0.14925373134328354,0.27586206896551724,0.1932367149758454,0.21442495126705652,0.3073170731707317,0.940677966101695,0.004530011325028313,0.35200000000000004,0.0,0.308,0.023,0.22866894197952214,0.0914351851851852,0.05137614678899082,0.15151515151515152,0.14705882352941174,0.5257731958762887,0.4438775510204081,,-0.014598540145985403,0.0,-0.009852216748768471,-0.16494845360824745,,-0.4061302681992337,-0.21666666666666667,-0.9230769230769232,-0.008620689655172414,0.10776942355889724,0.027777777777777776,0.05,0.0,0.0,0.030927835051546393,0.056701030927835065,0.308,0.03333333333333333,0.046728971962616835,0.023255813953488372,0.0510204081632653,0.043478260869565216,0.009090909090909092,0.03571428571428572,0.03448275862068965,0.07692307692307693,0.07692307692307693,0.02980132450331126,0.15555555555555556,0.3125,0.0,0.0,0.15555555555555556,0.3125,0.20388349514563106,0.3387096774193549,0.019444444444444445,0.2333333333333333,0.08888888888888889,0.06140350877192983,0.15555555555555556,0.14583333333333334,0.2857142857142857,0.18666666666666665,0.2111111111111111,0.0,0.0
Arron Afflalo,SG,23.0,DET,0.902439024390244,0.37748546956255735,0.23046875,0.34005037783375314,0.4370000000000001,0.2676056338028169,0.2962962962962963,0.402,0.15234375,0.21914357682619645,0.456,0.16774193548387098,0.18181818181818185,0.8170000000000001,0.0253411306042885,0.18359375,0.07802340702210663,0.11976047904191615,0.196969696969697,0.08955223880597014,0.13103448275862067,0.3140096618357488,0.317738791423002,0.5219512195121951,0.9322033898305084,0.10079275198187997,0.5479999999999999,0.35700000000000004,0.158,0.028,0.17235494880546073,0.07407407407407407,0.10091743119266056,0.196969696969697,0.07843137254901962,0.2963917525773196,0.3698979591836735,,0.05839416058394161,0.13157894736842105,0.08866995073891626,0.07903780068728522,,-0.06513409961685822,-0.11666666666666665,-0.1846153846153846,-0.008620689655172414,0.4185463659147869,0.16666666666666666,0.18636363636363634,0.2142857142857143,0.2,0.12371134020618554,0.13402061855670105,0.508,0.08888888888888889,0.09345794392523367,0.0930232558139535,0.14285714285714285,0.13043478260869565,0.054545454545454536,0.14285714285714288,0.06896551724137931,0.15384615384615385,0.4871794871794872,0.1622516556291391,0.2111111111111111,0.3055555555555556,0.27083333333333337,0.28703703703703703,0.14444444444444446,0.1944444444444444,0.16504854368932034,0.16935483870967746,0.025,0.16666666666666666,0.07222222222222223,0.11403508771929825,0.17777777777777778,0.08333333333333334,0.1326530612244898,0.28,0.29444444444444445,0.0,0.0
Maurice Ager,SG,24.0,NJN,0.24390243902439024,0.02967268277760783,0.32421875,0.596977329974811,0.349,0.0,0.2037037037037037,0.0,0.32421875,0.5138539042821157,0.405,0.14193548387096774,0.25,0.5,0.03313840155945419,0.15234375,0.07152145643693107,0.10179640718562874,0.09090909090909093,0.16417910447761194,0.1517241379310345,0.4541062801932367,0.3645224171539961,0.37560975609756103,0.9745762711864406,0.02491506228765572,0.365,0.14,0.124,0.036000000000000004,0.1484641638225256,0.07060185185185185,0.09724770642201834,0.09090909090909093,0.16666666666666669,0.20360824742268044,0.6224489795918366,,-0.021897810218978103,0.0,-0.014778325123152709,-0.15234822451317298,,-0.3256704980842912,-0.7166666666666667,-0.9846153846153848,-0.02586206896551724,0.12280701754385966,0.07407407407407407,0.1,0.0,0.042857142857142864,0.08247422680412372,0.0979381443298969,0.349,0.022222222222222227,0.03738317757009346,0.04651162790697675,0.040816326530612235,0.036231884057971016,0.018181818181818184,0.03571428571428572,0.03448275862068965,0.05128205128205129,0.2307692307692308,0.05629139072847682,0.3111111111111111,0.5555555555555556,0.0,0.20370370370370366,0.3111111111111111,0.4756944444444444,0.14563106796116504,0.2419354838709677,0.03055555555555556,0.14444444444444446,0.06851851851851852,0.09649122807017543,0.08888888888888889,0.14583333333333334,0.1530612244897959,0.42,0.35,0.0,0.0
Blake Ahearn,PG,24.0,SAS,0.03658536585365853,0.005812174977057204,0.22265625,0.4307304785894207,0.333,0.8028169014084507,0.7037037037037037,0.5,0.0,0.14357682619647355,0.0,0.36774193548387096,0.32386363636363635,1.0,0.0,0.11328125,0.0377113133940182,0.3413173652694611,0.4393939393939394,0.0,0.2,0.4154589371980677,0.44639376218323584,0.5512195121951221,0.8813559322033898,0.14609286523216308,0.581,0.667,0.222,0.0,0.10580204778156996,0.03587962962962963,0.29357798165137616,0.4393939393939394,0.0,0.32731958762886604,0.5127551020408163,,0.0,0.0,0.0049261083743842365,0.1706758304696449,,0.022988505747126436,-0.3,-0.08461538461538462,0.0,0.15789473684210525,0.06481481481481481,0.09090909090909093,0.25,0.18571428571428567,0.0,0.036082474226804134,0.5,0.07777777777777778,0.06542056074766353,0.0,0.030612244897959183,0.021739130434782608,0.06363636363636363,0.10714285714285716,0.0,0.07692307692307693,0.25641025641025644,0.08940397350993379,0.2111111111111111,0.3958333333333333,0.7916666666666666,0.7037037037037036,0.0,0.13194444444444445,0.3689320388349514,0.30645161290322576,0.0,0.10555555555555557,0.03518518518518518,0.3333333333333333,0.4222222222222222,0.0,0.19387755102040813,0.38,0.4222222222222222,0.0,0.0
Alexis Ajinça,PF,20.0,CHA,0.3780487804878049,0.0556745182012848,0.29296875,0.5188916876574308,0.362,0.0,0.037037037037037035,0.0,0.29296875,0.5037783375314862,0.373,0.3870967741935484,0.4772727272727272,0.7140000000000001,0.052631578947368425,0.24609375,0.11703511053315994,0.053892215568862284,0.31818181818181823,0.26865671641791045,0.2482758620689655,0.4927536231884058,0.4074074074074074,0.4195121951219512,0.8813559322033898,0.07927519818799547,0.43,0.029,0.2706666666666667,0.062,0.242320819112628,0.11805555555555555,0.05137614678899082,0.31818181818181823,0.26470588235294124,0.3324742268041237,0.6173469387755102,,-0.021897810218978103,0.03947368421052632,-0.0049261083743842365,-0.02061855670103093,,-0.31034482758620685,-0.2,-0.7153846153846154,-0.02586206896551724,0.14786967418546368,0.07407407407407407,0.1,0.0,0.014285714285714287,0.08247422680412372,0.11340206185567013,0.362,0.06666666666666668,0.08411214953271029,0.06976744186046513,0.07142857142857142,0.07246376811594203,0.009090909090909092,0.07142857142857144,0.06896551724137931,0.10256410256410256,0.2820512820512821,0.07615894039735101,0.27222222222222225,0.4722222222222222,0.0,0.037037037037037035,0.27222222222222225,0.4618055555555556,0.3883495145631068,0.4435483870967742,0.05,0.2333333333333333,0.10925925925925926,0.05263157894736842,0.3111111111111111,0.25,0.24489795918367346,0.44666666666666666,0.38333333333333336,0.0,0.0
LaMarcus Aldridge,PF,23.0,POR,0.9878048780487804,0.91893545426736,0.43359375,0.5768261964735516,0.484,0.014084507042253525,0.0308641975308642,0.25,0.4296875,0.5642317380352644,0.489,0.3096774193548387,0.35227272727272724,0.7809999999999999,0.08382066276803117,0.265625,0.14564369310793235,0.17365269461077845,0.21212121212121213,0.20895522388059698,0.1517241379310345,0.18357487922705315,0.5282651072124757,0.5609756097560976,0.9152542372881356,0.216308040770102,0.529,0.023,0.17933333333333332,0.095,0.2662116040955631,0.14467592592592593,0.1706422018348624,0.21212121212121213,0.19607843137254904,0.2061855670103093,0.6045918367346939,,0.4452554744525548,0.4342105263157895,0.4679802955665025,0.1729667812142039,,0.04597701149425287,0.11666666666666665,0.14615384615384613,0.25862068965517243,0.9298245614035088,0.6851851851851851,0.6954545454545454,0.03571428571428572,0.042857142857142864,0.7525773195876289,0.7731958762886598,0.486,0.3555555555555556,0.3831775700934579,0.6744186046511628,0.4693877551020407,0.5434782608695652,0.17272727272727273,0.35714285714285715,0.3448275862068966,0.38461538461538464,0.6666666666666667,0.5993377483443709,0.4,0.5173611111111112,0.02083333333333334,0.027777777777777776,0.3944444444444444,0.5069444444444444,0.3009708737864077,0.3225806451612903,0.07777777777777778,0.2444444444444445,0.1351851851851852,0.16666666666666666,0.2,0.1875,0.1530612244897959,0.16666666666666666,0.4888888888888889,0.0,0.0
Joe Alexander,SF,22.0,MIL,0.7195121951219512,0.2190272254512083,0.2890625,0.4458438287153652,0.416,0.16901408450704225,0.2037037037037037,0.348,0.2421875,0.36272040302267,0.4320000000000001,0.2709677419354839,0.3409090909090909,0.6990000000000001,0.06237816764132554,0.19921875,0.10793237971391416,0.17964071856287425,0.16666666666666669,0.31343283582089554,0.2620689655172413,0.3719806763285025,0.3918128654970761,0.4682926829268293,0.9152542372881356,0.1143827859569649,0.494,0.188,0.226,0.069,0.20989761092150166,0.10995370370370368,0.1743119266055046,0.16666666666666669,0.33333333333333337,0.4020618556701031,0.5331632653061223,,-0.021897810218978103,0.09210526315789473,0.019704433497536943,0.03436426116838488,,-0.13026819923371644,0.03333333333333333,-0.25384615384615383,-0.017241379310344827,0.3032581453634085,0.15740740740740738,0.19090909090909086,0.10714285714285716,0.1142857142857143,0.15463917525773194,0.1752577319587629,0.449,0.1111111111111111,0.1308411214953271,0.1627906976744186,0.12244897959183673,0.13768115942028986,0.06363636363636363,0.10714285714285716,0.1724137931034483,0.2307692307692308,0.4615384615384616,0.1556291390728477,0.2833333333333333,0.42708333333333337,0.16666666666666669,0.21296296296296294,0.2388888888888889,0.3472222222222222,0.2815533980582524,0.3387096774193549,0.06111111111111112,0.2,0.1074074074074074,0.18421052631578946,0.17777777777777778,0.3125,0.2653061224489796,0.36000000000000004,0.3888888888888889,0.0,0.0
Malik Allen,PF,30.0,MIL,0.5975609756097561,0.17711838482716427,0.25390625,0.3828715365239294,0.429,0.0,0.00617283950617284,0.0,0.25390625,0.380352644836272,0.4320000000000001,0.05806451612903226,0.10795454545454544,0.476,0.060428849902534124,0.23828125,0.11963589076723015,0.18562874251497008,0.09090909090909093,0.16417910447761194,0.12413793103448276,0.3864734299516908,0.2729044834307993,0.4682926829268293,0.9322033898305084,0.08267270668176671,0.435,0.006,0.08266666666666668,0.068,0.24744027303754265,0.12152777777777778,0.1743119266055046,0.09090909090909093,0.16666666666666669,0.2577319587628866,0.3928571428571429,,-0.014598540145985403,0.06578947368421052,0.014778325123152709,0.027491408934707903,,-0.17241379310344826,-0.016666666666666666,-0.3538461538461538,-0.03448275862068965,0.29573934837092736,0.13888888888888887,0.1590909090909091,0.0,0.0,0.15463917525773194,0.1752577319587629,0.429,0.022222222222222227,0.03738317757009346,0.1627906976744186,0.14285714285714285,0.15217391304347827,0.06363636363636363,0.03571428571428572,0.06896551724137931,0.10256410256410256,0.4615384615384616,0.10596026490066228,0.25,0.3680555555555555,0.0,0.009259259259259259,0.25,0.3645833333333333,0.058252427184466014,0.10483870967741936,0.06111111111111112,0.2333333333333333,0.11851851851851852,0.1929824561403509,0.08888888888888889,0.14583333333333334,0.12244897959183673,0.36666666666666653,0.26944444444444443,0.0,0.0
Ray Allen,SG,33.0,BOS,0.9634146341463414,0.8797797491587641,0.35937499999999994,0.4836272040302266,0.48,0.5211267605633804,0.5555555555555556,0.409,0.21484375,0.2569269521410579,0.542,0.2838709677419355,0.2613636363636363,0.952,0.023391812865497075,0.15234375,0.06631989596879062,0.23952095808383236,0.196969696969697,0.02985074626865672,0.1724137931034483,0.14009661835748793,0.5165692007797271,0.5951219512195122,0.8983050847457628,0.19592298980747447,0.624,0.467,0.15933333333333333,0.029,0.14675767918088736,0.06828703703703702,0.2311926605504587,0.196969696969697,0.03921568627450981,0.2680412371134021,0.5306122448979592,,0.5401459854014599,0.486842105263158,0.5467980295566502,0.21305841924398627,,0.1647509578544061,-0.05,0.3,0.3706896551724138,0.912280701754386,0.5833333333333333,0.6,0.8928571428571429,0.8857142857142858,0.3917525773195876,0.3608247422680413,0.575,0.3333333333333333,0.2990654205607477,0.18604651162790697,0.2755102040816326,0.25362318840579706,0.2545454545454545,0.32142857142857145,0.06896551724137931,0.4358974358974359,0.5128205128205129,0.6026490066225165,0.34444444444444444,0.4513888888888889,0.5208333333333334,0.5648148148148148,0.2111111111111111,0.2395833333333333,0.2912621359223301,0.25,0.022222222222222227,0.15000000000000002,0.06481481481481481,0.2368421052631579,0.2,0.04166666666666667,0.17346938775510198,0.13333333333333333,0.4972222222222222,0.0,0.0
