pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
PF,24,TOT,75,52,1311,6.7,13.0,.518,0.0,0.0,.000,6.7,13.0,.519,2.4,3.2,.759,3.5,5.8,9.3,0.7,0.7,0.7,2.7,5.2,15.9
PF,24,MIL,12,0,159,5.9,12.7,.464,0.0,0.2,.000,5.9,12.5,.473,2.7,3.6,.750,2.7,5.7,8.4,2.3,1.4,0.9,2.9,5.4,14.5
PF,24,BOS,63,52,1152,6.8,13.0,.525,0.0,0.0,,6.8,13.0,.525,2.4,3.1,.760,3.6,5.8,9.4,0.5,0.6,0.7,2.6,5.2,16.1
PG,23,DEN,81,81,2710,8.4,18.7,.450,0.9,2.6,.355,7.5,16.1,.465,2.9,3.1,.935,0.7,2.3,3.0,4.6,1.1,0.1,2.5,2.4,20.6
C,30,TOT,18,7,269,3.5,6.6,.531,0.1,0.3,.500,3.3,6.3,.532,1.5,2.1,.688,3.5,5.5,9.0,0.7,0.4,0.8,1.7,4.6,8.6
C,30,HOU,6,0,23,3.1,14.1,.222,1.6,3.1,.500,1.6,11.0,.143,1.6,3.1,.500,3.1,6.3,9.4,0.0,0.0,0.0,3.1,3.1,9.4
C,30,WSB,12,7,246,3.5,5.9,.600,0.0,0.0,,3.5,5.9,.600,1.5,2.0,.714,3.5,5.4,8.9,0.7,0.4,0.9,1.6,4.7,8.5
PG,30,WSB,70,70,2499,5.3,12.0,.439,1.0,3.1,.321,4.3,8.9,.480,3.4,4.0,.856,0.7,2.7,3.5,7.6,1.4,0.1,2.5,2.1,14.9
SF,28,NJN,68,15,1164,5.6,12.7,.443,0.2,1.1,.206,5.4,11.7,.464,1.8,2.2,.814,1.4,2.7,4.1,1.6,0.7,0.3,2.0,3.9,13.2
SF,33,DET,51,15,1056,6.4,14.4,.443,1.0,2.8,.361,5.4,11.6,.463,3.4,4.4,.767,1.5,3.7,5.2,3.6,0.5,0.2,2.3,3.4,17.1
SG,33,PHO,80,0,2163,5.6,12.1,.462,2.5,6.2,.403,3.1,6.0,.522,2.0,2.4,.848,0.8,2.7,3.6,4.3,1.1,0.1,1.9,2.9,15.8
C,23,GSW,72,59,1753,7.1,13.7,.516,0.2,0.5,.455,6.9,13.2,.518,2.3,3.3,.685,2.7,5.9,8.6,1.9,0.7,1.1,2.5,4.5,16.6
PF,22,NYK,16,0,44,4.1,14.7,.278,0.0,0.0,,4.1,14.7,.278,9.0,10.6,.846,4.9,6.5,11.5,2.5,2.5,0.8,4.1,11.5,17.2
