pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,27,ORL,80,50,1691,3.8,7.8,.484,0.1,0.1,.750,3.7,7.7,.480,2.3,3.3,.692,4.2,7.6,11.7,1.8,1.0,0.7,1.9,6.8,9.9,,110,114
PG,27,DEN,79,74,2690,6.7,16.7,.402,2.7,7.3,.366,4.1,9.4,.431,4.5,5.3,.850,0.8,3.0,3.8,8.4,2.0,0.1,2.4,2.3,20.7,,114,109
SF,30,DET,78,40,2005,11.1,22.8,.488,0.8,2.4,.333,10.3,20.4,.506,4.9,6.4,.756,3.0,4.8,7.7,3.7,0.9,0.5,3.1,5.1,27.9,,111,106
PG,30,SAC,75,68,2727,9.2,21.0,.438,2.0,5.3,.374,7.2,15.7,.460,4.0,4.9,.831,1.3,4.7,5.9,8.2,2.1,0.3,3.4,4.3,24.4,,107,110
PF,26,WSB,82,10,1893,9.5,20.0,.473,0.3,1.3,.204,9.2,18.8,.490,2.8,3.4,.812,3.9,5.7,9.5,3.6,1.5,1.0,2.6,5.6,21.9,,106,110
PG,25,DAL,41,0,302,10.6,23.2,.457,1.2,3.7,.318,9.4,19.5,.483,5.9,6.2,.946,0.3,3.9,4.2,6.6,2.5,0.5,2.7,3.7,28.3,,113,108
SG,25,SAC,63,6,746,7.1,15.9,.444,0.0,0.5,.000,7.1,15.4,.457,1.5,2.9,.535,3.3,5.9,9.2,1.5,1.1,1.3,1.9,6.8,15.6,,95,111
PF,25,MIL,60,28,1291,8.3,16.4,.507,0.0,0.0,,8.3,16.4,.507,3.5,6.4,.535,4.2,9.9,14.1,0.9,1.2,2.0,3.0,6.7,20.1,,101,105
SG,22,ORL,81,9,1785,9.6,19.4,.494,0.0,0.4,.059,9.6,19.0,.504,4.8,6.8,.705,2.8,5.4,8.2,3.2,1.8,0.9,3.6,3.6,24.0,,105,114
PF,29,CHH,54,2,604,7.1,17.1,.417,3.0,8.1,.370,4.1,9.0,.459,1.5,1.9,.783,2.7,7.6,10.3,4.5,1.6,0.7,2.1,5.2,18.7,,106,109
SF,31,PHI,78,3,2089,9.0,20.0,.451,0.1,0.5,.143,9.0,19.5,.459,3.9,4.7,.838,1.9,5.1,7.0,3.4,1.7,0.3,1.9,3.4,22.0,,108,110
SG,23,SAS,82,81,2788,9.3,18.9,.492,0.1,0.5,.269,9.2,18.5,.497,3.8,5.1,.748,2.0,4.5,6.5,6.4,1.9,1.0,3.5,4.4,22.5,,108,106
SF,22,ORL,72,5,1221,8.7,17.6,.497,0.0,0.0,,8.7,17.6,.497,6.2,8.6,.722,7.1,6.6,13.7,1.5,0.9,0.6,1.9,5.7,23.6,,120,115
PG,22,CHI,81,0,1291,7.3,15.1,.485,0.1,0.2,.500,7.2,14.8,.484,2.7,3.0,.885,0.7,3.2,3.9,7.6,1.8,0.2,3.2,4.0,17.4,,107,112
PG,29,BOS,54,17,1095,4.5,9.7,.459,0.0,0.8,.056,4.4,8.9,.495,1.3,1.7,.744,1.2,2.8,4.0,13.2,1.8,0.2,4.0,3.4,10.3,,102,111
SF,28,UTA,82,33,2583,9.1,18.9,.481,0.0,0.2,.000,9.1,18.7,.485,4.3,5.5,.779,2.2,5.7,7.9,2.6,0.6,1.9,2.7,3.4,22.5,,105,108
PF,29,LAC,52,1,589,6.3,13.2,.478,0.0,0.1,.000,6.3,13.1,.481,4.3,9.0,.473,3.2,6.0,9.2,1.5,1.4,0.6,3.6,7.6,16.9,,92,109
